月份,住宅建设投资额_累计值,住宅建设投资额_累计增长,住宅施工面积_累计值,住宅施工面积_累计增长,住宅竣工面积_累计值,住宅竣工面积_累计增长,地区
201712,676.2184,-6.2,6764.5976,-6.1,788.0317,-24.7,甘肃省
201801,0.0,0.0,0.0,0.0,0.0,0.0,甘肃省
201802,0.0,0.0,0.0,0.0,0.0,0.0,甘肃省
201803,0.0,0.0,0.0,0.0,0.0,0.0,甘肃省
201804,0.0,0.0,0.0,0.0,0.0,0.0,甘肃省
201805,0.0,0.0,0.0,0.0,0.0,0.0,甘肃省
201806,0.0,0.0,0.0,0.0,0.0,0.0,甘肃省
201807,0.0,0.0,0.0,0.0,0.0,0.0,甘肃省
201808,0.0,0.0,0.0,0.0,0.0,0.0,甘肃省
201809,0.0,0.0,0.0,0.0,0.0,0.0,甘肃省
201810,0.0,0.0,0.0,0.0,0.0,0.0,甘肃省
201811,0.0,0.0,0.0,0.0,0.0,0.0,甘肃省
201812,0.0,0.0,0.0,0.0,0.0,0.0,甘肃省
200801,0.0,0.0,0.0,0.0,0.0,0.0,青海省
200802,0.011,161.9,3.17,174.5,0.51,-23.5,青海省
200803,2.6806,119.3,191.0593,58.8,29.8264,112.2,青海省
200804,7.4641,41.3,346.2952,13.3,38.1786,34.6,青海省
200805,12.9324,31.6,466.9169,19.9,45.1105,32.3,青海省
200806,22.1298,28.6,564.8082,17.7,55.1946,28.7,青海省
200807,31.8548,36.1,630.1194,15.0,66.3638,22.9,青海省
200808,38.7026,28.0,674.1108,11.1,72.7397,18.4,青海省
200809,44.4214,25.3,711.7794,13.0,80.8274,8.2,青海省
200810,48.9397,28.1,754.072,16.8,111.2984,23.5,青海省
200811,54.7843,39.6,785.5941,19.3,149.0355,20.4,青海省
200812,55.3702,36.5,792.9374,15.6,250.4003,6.7,青海省
200901,0.0,0.0,0.0,0.0,0.0,0.0,青海省
200902,0.24,2045.5,5.9,86.4,0.0,0.0,青海省
200903,4.0838,52.3,153.9225,-19.4,19.0398,-36.2,青海省
